,Env,Learning Freq.,Target Update Freq.,Step Size,Buffer Size,Num Episodes,Algorithm
189,envs:random_maze-v0,10,10,0.005,100000,245.11999999999998,"FFN, 10"
190,envs:random_maze-v0,10,10,5e-05,10000,14.9,"FFN, 10"
191,envs:random_maze-v0,10,10,5e-05,100000,15.009999999999996,"FFN, 10"
192,envs:random_maze-v0,10,100,0.0005,10000,14.91,"FFN, 10"
193,envs:random_maze-v0,10,100,0.0005,100000,16.560000000000002,"FFN, 10"
194,envs:random_maze-v0,10,100,0.005,10000,135.52000000000004,"FFN, 10"
195,envs:random_maze-v0,10,100,0.005,100000,51.92999999999999,"FFN, 10"
196,envs:random_maze-v0,10,100,5e-05,10000,14.95,"FFN, 10"
197,envs:random_maze-v0,10,100,5e-05,100000,14.940000000000001,"FFN, 10"
198,envs:random_maze-v0,10,1000,0.0005,10000,14.98,"FFN, 10"
199,envs:random_maze-v0,10,1000,0.0005,100000,14.91,"FFN, 10"
200,envs:random_maze-v0,10,1000,0.005,10000,14.989999999999998,"FFN, 10"
201,envs:random_maze-v0,10,1000,0.005,100000,15.030000000000001,"FFN, 10"
202,envs:random_maze-v0,10,1000,5e-05,10000,14.989999999999998,"FFN, 10"
203,envs:random_maze-v0,10,1000,5e-05,100000,14.91,"FFN, 10"
204,envs:random_maze-v0,100,100,0.0005,10000,153.45,"FFN, 10"
205,envs:random_maze-v0,100,100,0.0005,100000,88.07000000000001,"FFN, 10"
206,envs:random_maze-v0,100,100,0.005,10000,685.9300000000001,"FFN, 10"
207,envs:random_maze-v0,100,100,0.005,100000,45.14,"FFN, 10"
208,envs:random_maze-v0,100,100,5e-05,10000,688.07,"FFN, 10"
209,envs:random_maze-v0,100,100,5e-05,100000,784.3399999999999,"FFN, 10"
210,envs:random_maze-v0,100,1000,0.0005,10000,14.969999999999999,"FFN, 10"
211,envs:random_maze-v0,100,1000,0.0005,100000,55.29,"FFN, 10"
212,envs:random_maze-v0,100,1000,0.005,10000,136.69,"FFN, 10"
213,envs:random_maze-v0,100,1000,0.005,100000,229.34,"FFN, 10"
214,envs:random_maze-v0,100,1000,5e-05,10000,735.1099999999999,"FFN, 10"
215,envs:random_maze-v0,100,1000,5e-05,100000,866.4400000000002,"FFN, 10"
216,CartPole-v1,1,1,0.0005,10000,160.10000000000002,"RNN, 1"
217,CartPole-v1,1,1,0.0005,100000,255.84,"RNN, 1"
218,CartPole-v1,1,1,0.005,10000,146.14000000000001,"RNN, 1"
219,CartPole-v1,1,1,0.005,100000,366.6,"RNN, 1"
220,CartPole-v1,1,1,5e-05,10000,188.93000000000004,"RNN, 1"
221,CartPole-v1,1,1,5e-05,100000,352.88,"RNN, 1"
222,CartPole-v1,1,1,0.0005,10000,9.34,"RNN, 2"
223,CartPole-v1,1,1,0.0005,100000,9.959999999999999,"RNN, 2"
224,CartPole-v1,1,1,0.005,10000,9.45,"RNN, 2"
225,CartPole-v1,1,1,0.005,100000,9.430000000000001,"RNN, 2"
226,CartPole-v1,1,1,5e-05,10000,11.069999999999999,"RNN, 2"
227,CartPole-v1,1,1,5e-05,100000,10.58,"RNN, 2"
228,CartPole-v1,1,1,0.0005,10000,15.99,"RNN, 4"
229,CartPole-v1,1,1,0.0005,100000,14.41,"RNN, 4"
230,CartPole-v1,1,1,0.005,10000,14.49,"RNN, 4"
231,CartPole-v1,1,1,0.005,100000,16.71,"RNN, 4"
232,CartPole-v1,1,1,5e-05,10000,17.21,"RNN, 4"
233,CartPole-v1,1,1,5e-05,100000,15.960000000000003,"RNN, 4"
234,CartPole-v1,1,1,0.0005,10000,19.810000000000002,"RNN, 8"
235,CartPole-v1,1,1,0.0005,100000,16.2,"RNN, 8"
236,CartPole-v1,1,1,0.005,10000,20.07,"RNN, 8"
237,CartPole-v1,1,1,0.005,100000,16.32,"RNN, 8"
238,CartPole-v1,1,1,5e-05,10000,10.629999999999999,"RNN, 8"
239,CartPole-v1,1,1,5e-05,100000,11.290000000000001,"RNN, 8"
240,CartPole-v1,1,10,0.0005,10000,162.33,"RNN, 1"
241,CartPole-v1,1,10,0.0005,100000,242.41000000000003,"RNN, 1"
242,CartPole-v1,1,10,0.005,10000,175.01999999999998,"RNN, 1"
243,CartPole-v1,1,10,0.005,100000,268.96999999999997,"RNN, 1"
244,CartPole-v1,1,10,5e-05,10000,127.46000000000001,"RNN, 1"
245,CartPole-v1,1,10,5e-05,100000,234.81000000000003,"RNN, 1"
246,CartPole-v1,1,10,0.0005,10000,9.809999999999999,"RNN, 2"
